locality_code,locality_name_he,locality_name_en,district_he,sub_district_he,population
3400,חברון,,,חברון,
1347,קצר א-סר,,,באר שבע,
1331,כמאנה,,,עכו,
3777,סנסנה,,,חברון,
963,אעצם (שבט),A'SAM,,באר שבע,
1220,אבירים,ABBIRIM,,עכו,
958,אבו עבדון (שבט),ABU ABDUN,,באר שבע,
1042,אבו עמאר (שבט),ABU AMMAR,,באר שבע,
932,אבו עמרה (שבט),ABU AMRE,,באר שבע,
472,אבו גוש,ABU GHOSH,,ירושלים,
967,אבו ג'ווייעד (שבט),ABU JUWEI'ID,,באר שבע,
1342,אבו קרינאת (יישוב),ABU QUREINAT,,באר שבע,
968,אבו קורינאת (שבט),ABU QUREINAT,,באר שבע,
966,אבו רובייעה (שבט),ABU RUBEI'A,,באר שבע,
961,אבו רוקייק (שבט),ABU RUQAYYEQ,,באר שבע,
473,אבו סנאן,ABU SINAN,,עכו,
935,אבו סריחאן (שבט),ABU SUREIHAN,,באר שבע,
1375,אבו תלול,ABU TULUL,,באר שבע,
1068,אדמית,ADAMIT,,עכו,
2035,עדנים,ADANIM,,פתח תקווה,
1123,אדרת,ADDERET,,ירושלים,
113,אדירים,ADDIRIM,,עפולה,
3874,עדי עד,ADE AD,,ראמאללה,
1199,עדי,ADI,,עכו,
3759,אדורה,ADORA,,חברון,
3987,אדוריים,ADORAYIM,,חברון,
959,אפיניש (שבט),AFEINISH,,באר שבע,
313,אפק,AFEQ,,עכו,
4301,אפיק,AFIQ,,גולן,
176,אפיקים,AFIQIM,,כנרת,
7700,עפולה,AFULA,,עפולה,
794,עגור,AGUR,,ירושלים,
1157,אחווה,AHAWA,,אשקלון,
797,אחיעזר,AHI'EZER,,רמלה,
785,אחיהוד,AHIHUD,,עכו,
804,אחיסמך,AHISAMAKH,,רמלה,
850,אחיטוב,AHITUV,,השרון,
3875,אחיה,AHIYA,,ראמאללה,
821,אחוזם,AHUZZAM,,אשקלון,
1330,אחוזת ברק,AHUZZAT BARAQ,,עפולה,
7600,עכו,AKKO,,עכו,
1359,אל סייד,AL SAYYID,,באר שבע,
1316,אל-עריאן,AL-ARYAN,,חדרה,
1339,אל-עזי,AL-AZY,,אשקלון,
3727,עלי זהב,ALE ZAHAV,,טול כרם,
3750,אלפי מנשה,ALFE MENASHE,,טול כרם,
3898,אלון,ALLON,,ראמאללה,
1182,אלון הגליל,ALLON HAGALIL,,עפולה,
3604,אלון שבות,ALLON SHEVUT,,בית לחם,
429,אלוני אבא,ALLONE ABBA,,עפולה,
4017,אלוני הבשן,ALLONE HABASHAN,,גולן,
868,אלוני יצחק,ALLONE YIZHAQ,,חדרה,
285,אלונים,ALLONIM,,עפולה,
688,עלמה,ALMA,,צפת,
1125,אלמגור,ALMAGOR,,כנרת,
3556,אלמוג,ALMOG,,ירדן )יריחו(,
3715,עלמון,ALMON,,ראמאללה,
1146,עלומים,ALUMIM,,באר שבע,
1145,אלומה,ALUMMA,,אשקלון,
330,אלומות,ALUMMOT,,כנרת,
23,אמציה,AMAZYA,,אשקלון,
319,עמיר,AMIR,,צפת,
1064,אמירים,AMIRIM,,צפת,
385,עמיעד,AMMI'AD,,צפת,
318,עמיעוז,AMMI'OZ,,באר שבע,
3824,עמיחי,AMMIHAY,,ראמאללה,
779,עמינדב,AMMINADAV,,ירושלים,
773,עמיקם,AMMIQAM,,חדרה,
1253,אמנון,AMNUN,,כנרת,
708,עמקה,AMQA,,עכו,
1212,עמוקה,AMUQQA,,צפת,
4012,אניעם,ANI'AM,,גולן,
637,ערערה,AR'ARA,,חדרה,
1192,ערערה-בנגב,AR'ARA-BANEGEV,,באר שבע,
2560,ערד,ARAD,,באר שבע,
1246,עראמשה,ARAMSHA,,עכו,
701,ארבל,ARBEL,,כנרת,
3598,ארגמן,ARGAMAN,,ירדן )יריחו(,
3570,אריאל,ARI'EL,,טול כרם,
1335,ערב אל נעים,ARRAB AL NAIM,,עכו,
531,עראבה,ARRABE,,עכו,
1324,ארסוף,ARSUF,,השרון,
593,ערוגות,ARUGOT,,אשקלון,
3861,עשהאל,ASA'EL,,חברון,
960,אסד (שבט),ASAD,,באר שבע,
3754,אספר,ASEFAR,,חברון,
591,עשרת,ASERET,,רחובות,
1152,אשלים,ASHALIM,,באר שבע,
70,אשדוד,ASHDOD,,אשקלון,
199,אשדות יעקב (איחוד),ASHDOT YA'AQOV(IHUD),,כנרת,
188,אשדות יעקב (מאוחד),ASHDOT YA'AQOV(ME'UH,,כנרת,
1256,אשרת,ASHERAT,,עכו,
7100,אשקלון,ASHQELON,,אשקלון,
969,עטאוונה (שבט),ATAWNE,,באר שבע,
3658,עטרת,ATERET,,ראמאללה,
53,עתלית,ATLIT,,חדרה,
965,אטרש (שבט),ATRASH,,באר שבע,
917,עצמון שגב,ATSMON-SEGEV,,עכו,
892,עבדון,AVDON,,עכו,
679,אביאל,AVI'EL,,חדרה,
1070,אביעזר,AVI'EZER,,ירושלים,
3869,אביגיל,AVIGAYIL,,חברון,
819,אביגדור,AVIGEDOR,,אשקלון,
175,אביחיל,AVIHAYIL,,השרון,
2052,אביטל,AVITAL,,עפולה,
1115,אביבים,AVIVIM,,צפת,
4011,אבני איתן,AVNE ETAN,,גולן,
3793,אבני חפץ,AVNE HEFEZ,,טול כרם,
1311,אבשלום,AVSHALOM,,באר שבע,
1275,אבטליון,AVTALYON,,עכו,
156,עיינות,AYANOT,,רחובות,
77,איילת השחר,AYYELET HASHAHAR,,צפת,
711,עזריה,AZARYA,,רמלה,
565,אזור,AZOR,,חולון,
837,עזריאל,AZRI'EL,,השרון,
817,עזריקם,AZRIQAM,,אשקלון,
2043,בחן,BAHAN,,השרון,
94,בלפוריה,BALFURIYYA,,עפולה,
6000,באקה אל-גרביה,BAQA AL-GHARBIYYE,,חדרה,
823,בר גיורא,BAR GIYYORA,,ירושלים,
3499,בר כוכבא,BAR KOKHVA,,בית לחם,
1191,בר יוחאי,BAR YOHAY,,צפת,
667,ברעם,BAR'AM,,צפת,
141,ברק,BARAQ,,עפולה,
2038,ברקת,BAREQET,,פתח תקווה,
3654,ברקן,BARQAN,,טול כרם,
617,ברקאי,BARQAY,,חדרה,
1326,בסמה,BASMA,,חדרה,
944,בסמת טבעון,BASMAT TAB'UN,,עפולה,
3794,בת עין,BAT AYIN,,בית לחם,
1323,בת הדר,BAT HADAR,,אשקלון,
1319,בת חפר,BAT HEFER,,השרון,
1361,בת חן,BAT HEN,,השרון,
33,בת שלמה,BAT SHELOMO,,חדרה,
6200,בת ים,BAT YAM,,חולון,
389,בצרה,BAZRA,,השרון,
1278,באר מילכה,BE'ER MILKA,,באר שבע,
21,באר אורה,BE'ER ORA,,באר שבע,
9000,באר שבע,BE'ER SHEVA,,באר שבע,
